NAME,NAME.id,LOCATION.x,LOCATION.y,POSITION,SHAPE.length,SHAPE.orientation,SHAPE.width
b3590,0a40f478-5ca4-4f00-b30d-a8a8718f13b3,59.42721,196.8113,1,17.186466,20.819576,4.9411254
b3614,b1225dba-2153-4fd9-b02f-7b0b8136eeac,68.60746,206.3186,1,26.080318,60.912376,4.984472
b3644,542f7319-806f-4082-87e1-b775da5a4462,63.505196,231.69661,1,21.420914,38.387177,4.825172
b3714,59b877bf-05c6-42c2-abfb-4a3e6778ed55,60.818195,158.49048,1,14.574597,165.96388,3.9176376
b3719,220cefad-b2c9-47a4-a466-a3c26948ff35,63.360783,181.82535,1,15.1282215,132.03902,5.0270543
b3765,6f2456e4-efda-42d6-be9e-4591036d4d49,64.62624,146.3412,1,18.076618,137.3574,5.0165734
b3819,829384d5-984e-4fac-99c9-f6fb418dfd1b,63.18194,293.00403,1,18.336584,174.14052,6.937036
b3901,b8f276b1-c122-4274-bd3e-19c5a8d72ca6,72.88648,126.37223,1,34.7175,148.62978,5.700488
b3911,188ffb3d-ad7c-488f-83b6-09cfab5113d2,65.17641,314.38055,1,18.467741,0,4.760583
b3982,d313799a-37b8-4e37-a1de-ecb7b80f2b7e,68.13691,175.75838,1,9.187593,122.06182,3.0431654
b4070,decdaf75-9934-4d3d-afb8-4c43db2e8ede,70.29967,194.70758,1,12.575152,36.624737,4.419358
b4113,0b9db2eb-b074-4af0-a37d-793c62e7ebe3,70.5827,165.07971,1,16.21711,159.06334,5.484173
b8326,2bf2c067-f034-4b5e-a881-2af3d5565e8a,59.983025,222.23373,1,10.614562,43.306652,4.923251
b8328,db6fce0c-4434-4c8d-8b5a-64e67150e4c6,68.053795,215.56882,1,8.085385,24.623495,4.2725515
b8329,aafcb48b-6c90-40c9-b3d7-17b8266bf216,59.177532,258.61456,1,22.487648,10.114822,6.2744045
b8330,ac29efb1-f2d9-4f34-a522-3b4e148cd8fe,67.76544,240.13647,1,14.9495945,50.87582,4.766559
b8333,a97b357a-de25-4d52-bebf-89f2dc9c9559,77.59597,182.20457,1,12.2457,14.539636,5.1501856
b8335,20efc598-5cb5-445e-a876-833e3cfc103c,77.478424,218.05252,1,14.911859,173.77837,5.954949
b8336,e329096b-fefb-4900-b9b1-8bb5825d305b,76.25134,228.01573,1,9.23102,170.53772,4.5843444
b8343,e093d646-06d8-403d-bd09-d6256f27cfaa,124.71132,64.9242,2,34.30227,57.889957,6.375694
b8347,7a01a388-ff97-423b-b602-3ae0f900a51d,145.30124,72.62609,2,17.270437,44.949806,6.3313704
b8349,8308b268-10a8-41e1-b1cf-e57496e01660,154.2367,58.793312,2,25.786858,78.97798,4.669573
b8353,b66b5774-472c-4d13-b165-e78d49c101c5,157.282,76.50176,2,13.11535,80.48351,5.171186
b8355,3bc2e6b7-6652-4f81-b466-bbd6acd260b6,163.84279,66.488266,2,14.9535055,68.05788,5.5417094
b8356,06dd1e08-fe1a-4bda-81b7-51efbd4b8207,171.61436,73.52901,2,12.037226,37.69428,3.705401
b8360,3b43793e-c285-4adf-abd0-2b3587c512b1,180.31204,59.19719,2,14.316947,106.28067,6.252906
b8364,7fcfcad0-603f-4345-9ff1-263a14f1ce3a,181.12384,73.529434,2,14.035386,31.328459,6.043396
b8367,53aa4378-8c77-46c6-a1b4-87af3724c57f,194.66084,77.65955,2,15.693714,98.54157,5.995974
b8368,75916ae5-9ac0-4b8c-ae4a-c112aaa7c5a0,193.09058,66.165726,2,10.271317,130.76341,4.855856
b8375,1a4546ec-8853-4341-99f8-c3b4cd92c546,205.6954,68.32894,2,25.622875,155.92189,4.863764
b8380,6eba884e-cef5-4666-863b-fa33fda79796,221.40239,59.840523,2,19.511412,92.57984,6.0157695
b8381,055f5add-0d37-4852-b5be-e4ba2c3ea6bc,217.88368,73.78926,2,17.213642,141.24165,5.899436
b8388,147b2f6f-52d1-4222-8303-93e5abb2bc81,230.62544,73.98726,2,19.706264,128.66133,5.8309183
b8405,66a30ddf-62fd-4bfa-9c57-e189a4c227b6,239.44485,69.9199,2,14.799824,142.85965,6.661881
b8406,da253611-d824-4d5e-b989-ccc1124b383f,257.68362,78.07664,2,22.817644,105.225365,6.2767363
b8407,3bb8f7ee-e97d-4df3-8f48-c3805185983f,294.29883,72.54549,2,18.800772,96.1465,6.293281
b8408,83dfdc77-21de-4590-a445-758d74908d41,315.15875,71.69061,2,18.70663,80.338486,6.7287765
b8469,209b9c5e-39a9-431f-a657-6dc86412d885,294.6431,69.46421,3,18.363573,78.17564,6.9660735
b8478,8fb6295e-3c2d-4cbb-81ee-a33fb9a2859c,125.22911,61.426895,3,35.373592,58.527184,6.3983665
b8567,1eb414c1-ed75-443a-b58a-eb61ecac1214,121.49271,63.07189,4,35.991486,57.16311,6.3229146
b8425,11ae01ab-e512-44a1-8f26-ad1e0d8dbcf1,154.99442,55.143326,3,26.9597,80.27332,4.563265
b8493,1aa9aabc-ba15-4574-9872-0c1816da9350,153.55756,55.370808,4,27.670086,80.79835,4.701923
b8577,2c346fdb-ac35-4278-ba4a-e72b7814fb2e,153.45013,54.742653,5,29.154787,82.902855,4.6382437
b8422,95ee0bd3-a1af-4b36-905d-c349a9e5600e,146.09846,69.08842,3,17.283875,46.72257,6.3363824
b8489,4da2f2b8-f33a-4e46-ab9b-99f09cfe8803,145.2173,69.19941,4,17.576029,46.07066,5.922081
b8578,f4e88e97-6bfe-4adb-be4a-6ed707ef78eb,146.2604,68.37658,5,17.682943,42.80797,5.7690277
b8655,8c3b4895-5d36-4df7-89bf-80a61897ed63,146.55884,68.07295,6,17.625624,43.431473,5.9442205
b8428,b397964d-6f3a-4017-bb7e-ff8a7843cbcb,158.2582,72.94623,3,13.210435,74.93161,5.3138356
b8498,e34c0f8f-4935-4dae-b7d4-f345fa9eb396,157.06017,73.44451,4,13.519355,79.31156,5.138932
b8583,590a0b59-74db-4d99-baad-8903ddef4af4,158.46936,73.17407,5,13.535719,80.29523,4.600803
b8659,19bb1619-f992-4d59-95c1-7f8437a97678,158.22733,72.655525,6,13.547206,82.14677,4.7280903
b8432,38530392-9091-417e-8d48-eafeb8c93dd4,165.08617,62.84222,3,15.359926,73.05637,5.864455
b8503,be05e2c7-b1d1-407e-a95c-ca11d5f98a1f,164.15317,63.480297,4,15.705465,70.25828,5.921927
b8586,c81a35b3-13c3-4237-9565-c54ab7df3259,164.7683,63.287727,5,15.698785,71.8882,5.4994245
